image_name,absolute_path,label
z7_000000_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000000_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab
z7_000001_01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000001_01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab
z7_000002_0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000002_0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab
z7_000003_023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000003_023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab
z7_000004_0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000004_0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab
z7_000005_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000005_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,Apple___Apple_scab
z7_000006_0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000006_0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab
z7_000007_03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000007_03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab
z7_000008_0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000008_0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,Apple___Apple_scab
z7_000009_058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000009_058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab
z7_000010_0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000010_0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab
z7_000011_0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000011_0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab
z7_000012_06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000012_06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab
z7_000013_073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000013_073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab
z7_000014_075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000014_075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab
z7_000015_0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000015_0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab
z7_000016_0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,C:/Users/sriha/Downloads/disease dataset/Apple___Apple_scab/z7_000016_0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,Apple___Apple_scab
