N,P,K,temperature,humidity,moisture,soil_type,ph,rainfall,crop
90,42,43,20.8,82,65,loamy,6.5,202,Rice
85,58,41,23.0,80,68,silty,6.0,230,Rice
80,47,40,22.5,85,70,silty,6.2,220,Rice
38,52,34,25.0,16,30,sandy,4.5,20,Maize
35,67,25,22.5,65,40,loamy,5.8,60,Maize
40,60,30,24.0,55,38,loamy,6.0,55,Maize
37,55,28,23.0,60,42,sandy,5.5,50,Maize
83,92,80,26.8,80,60,loamy,6.8,150,Chickpea
80,88,75,25.0,75,58,clay,7.0,140,Chickpea
75,85,70,24.5,72,55,loamy,6.9,135,Chickpea
22,67,20,28.5,14,28,sandy,7.8,15,Kidneybeans
18,70,18,29.0,16,25,sandy,7.5,12,Kidneybeans
70,45,22,23.0,67,50,silty,6.3,100,Pigeonpeas
65,40,20,24.0,65,48,loamy,6.5,95,Pigeonpeas
20,28,10,35.5,25,28,sandy,6.7,30,Mothbeans
18,25,8,36.0,22,25,sandy,6.8,28,Mothbeans
20,120,13,28.5,20,30,sandy,6.8,22,Mungbean
18,115,10,29.0,22,28,sandy,6.5,20,Mungbean
23,45,60,28.0,14,25,sandy,7.8,30,Blackgram
20,40,55,29.0,16,22,sandy,7.5,28,Blackgram
65,42,22,29.0,30,35,sandy,7.8,30,Lentil
60,38,18,28.0,32,33,loamy,7.5,28,Lentil
20,130,199,37.0,22,30,sandy,5.0,28,Pomegranate
18,125,195,36.0,20,28,sandy,5.2,26,Pomegranate
25,100,200,38.0,24,32,sandy,5.1,30,Banana
20,95,195,37.5,22,30,sandy,5.3,28,Banana
18,105,198,38.5,25,35,sandy,5.0,32,Banana
58,52,34,24.5,68,55,loamy,6.8,98,Mango
55,48,30,25.0,65,52,loamy,7.0,95,Mango
38,95,70,38.8,42,45,clay,6.5,50,Grapes
35,90,65,39.0,40,42,clay,6.8,48,Grapes
20,18,42,14.5,20,28,sandy,6.2,60,Watermelon
18,15,40,15.0,22,25,sandy,6.0,55,Watermelon
16,12,38,14.0,18,22,sandy,6.3,58,Watermelon
15,50,34,28.0,90,75,silty,5.5,270,Muskmelon
12,48,30,27.0,85,72,silty,5.8,260,Muskmelon
120,40,35,22.5,25,32,loamy,6.2,60,Apple
115,38,32,23.0,28,30,loamy,6.0,55,Apple
110,35,30,22.0,26,28,loamy,6.3,58,Apple
55,60,110,26.5,70,58,clay,5.2,150,Orange
50,55,105,27.0,65,55,clay,5.5,145,Orange
200,50,30,25.0,80,65,loamy,6.8,150,Papaya
195,48,28,24.5,75,62,loamy,7.0,145,Papaya
190,45,25,25.5,78,60,loamy,6.5,148,Papaya
12,55,60,27.5,85,70,silty,5.5,200,Coconut
10,50,55,28.0,80,68,silty,5.8,195,Coconut
8,48,50,27.0,82,65,silty,5.6,190,Coconut
90,80,70,25.5,75,62,loamy,6.5,160,Cotton
85,75,65,26.0,70,60,loamy,6.8,155,Cotton
80,70,60,25.0,72,58,clay,6.7,150,Cotton
205,90,40,23.8,82,68,loamy,6.5,180,Jute
200,85,38,24.0,80,65,loamy,6.8,175,Jute
195,80,35,23.5,78,62,silty,6.3,170,Jute
15,65,80,23.0,85,75,silty,5.8,220,Coffee
12,60,75,22.5,80,72,silty,6.0,215,Coffee
10,55,70,23.5,82,70,silty,5.6,210,Coffee
80,40,40,25.0,70,58,loamy,6.2,100,Wheat
75,38,38,24.5,65,55,loamy,6.5,95,Wheat
70,35,35,25.5,68,52,clay,6.3,90,Wheat
60,55,50,28.0,75,62,loamy,6.8,120,Soybean
55,50,48,27.5,72,60,loamy,7.0,115,Soybean
50,48,45,28.5,70,58,loamy,6.5,110,Soybean
150,50,45,28.0,65,52,loamy,6.5,80,Sugarcane
145,48,42,28.5,60,50,clay,6.8,75,Sugarcane
140,45,40,29.0,62,48,loamy,6.3,78,Sugarcane
12,60,90,25.0,78,65,silty,5.5,180,Tea
10,58,85,24.5,75,62,silty,5.8,175,Tea
8,55,80,25.5,72,60,silty,5.3,170,Tea
30,60,200,28.0,72,60,sandy,6.5,55,Potato
28,58,195,27.5,70,58,sandy,6.8,50,Potato
25,55,190,28.5,68,55,sandy,6.3,52,Potato
30,70,180,25.0,65,52,loamy,6.0,70,Tomato
28,65,175,24.5,62,50,loamy,6.2,65,Tomato
25,60,170,25.5,60,48,loamy,6.5,68,Tomato
35,60,160,27.0,62,50,loamy,6.5,75,Onion
30,55,155,26.5,60,48,loamy,6.8,70,Onion
28,52,150,27.5,58,45,sandy,6.3,65,Onion
40,55,145,26.0,60,48,loamy,6.5,80,Garlic
38,50,140,25.5,58,45,loamy,6.8,75,Garlic
35,48,135,26.5,55,42,sandy,6.3,72,Garlic
25,80,200,30.0,85,72,silty,6.0,250,Ginger
22,75,195,29.5,80,70,silty,6.2,245,Ginger
20,72,190,30.5,78,68,silty,5.8,240,Ginger
25,85,200,28.5,82,70,silty,5.5,230,Turmeric
22,80,195,28.0,80,68,silty,5.8,225,Turmeric
20,78,190,29.0,78,65,silty,5.3,220,Turmeric
40,60,130,28.0,55,45,loamy,6.8,65,Sunflower
38,55,125,27.5,52,42,sandy,7.0,60,Sunflower
35,52,120,28.5,50,40,sandy,6.5,58,Sunflower
35,45,120,28.0,50,40,sandy,7.0,60,Mustard
32,42,115,27.5,48,38,sandy,7.2,55,Mustard
30,40,110,28.5,45,35,sandy,6.8,52,Mustard
55,40,60,28.0,62,50,loamy,6.5,85,Groundnut
50,38,55,27.5,60,48,sandy,6.8,80,Groundnut
48,35,50,28.5,58,45,sandy,6.3,75,Groundnut
20,80,180,26.0,80,68,silty,5.5,200,Capsicum
18,75,175,25.5,78,65,loamy,5.8,195,Capsicum
15,72,170,26.5,75,62,loamy,5.6,190,Capsicum
22,70,160,26.0,75,62,loamy,6.0,175,Brinjal
20,65,155,25.5,72,60,loamy,6.2,170,Brinjal
18,62,150,26.5,70,58,loamy,5.8,165,Brinjal
28,50,120,24.0,70,58,clay,6.2,120,Cabbage
25,48,115,23.5,68,55,clay,6.5,115,Cabbage
22,45,110,24.5,65,52,clay,6.0,110,Cabbage
30,55,130,22.0,72,60,clay,6.2,130,Cauliflower
28,52,125,21.5,70,58,clay,6.5,125,Cauliflower
25,50,120,22.5,68,55,clay,6.0,120,Cauliflower
30,50,110,22.0,68,55,loamy,6.5,110,Spinach
28,48,105,21.5,65,52,loamy,6.8,105,Spinach
25,45,100,22.5,62,50,loamy,6.3,100,Spinach
25,65,155,23.5,75,62,silty,5.8,170,Lettuce
22,62,150,23.0,72,60,silty,6.0,165,Lettuce
20,60,145,24.0,70,58,silty,5.6,160,Lettuce
60,50,100,27.0,65,52,loamy,6.8,90,Peas
55,48,95,26.5,62,50,loamy,7.0,85,Peas
52,45,90,27.5,60,48,loamy,6.5,80,Peas
