crop,disease,severity,frequency,probability,season,treatment,pesticide
Tomato,Late Blight,High,450,0.82,Monsoon,Remove infected leaves; apply copper-based fungicide,Mancozeb 75WP @ 2g/L
Tomato,Early Blight,Medium,380,0.68,Summer,Improve air circulation; apply chlorothalonil,Chlorothalonil 75WP @ 2g/L
Tomato,Leaf Mold,Medium,290,0.55,Humid Season,Reduce humidity; apply fungicide spray,Iprodione 50WP @ 1.5g/L
Tomato,Septoria Leaf Spot,Medium,260,0.50,Monsoon,Avoid overhead watering; apply copper fungicide,Copper Oxychloride @ 3g/L
Tomato,Mosaic Virus,High,310,0.60,Any,Control aphid vectors; remove infected plants,Imidacloprid 17.8SL @ 0.5ml/L
Tomato,Healthy,None,0,0.00,Any,No treatment needed,None
Rice,Blast Disease,High,520,0.78,Monsoon,Apply tricyclazole; reduce nitrogen,Tricyclazole 75WP @ 0.6g/L
Rice,Bacterial Leaf Blight,High,480,0.75,Monsoon,Drain water; apply copper bactericide,Copper Hydroxide @ 3g/L
Rice,Brown Spot,Medium,350,0.62,Humid,Apply propiconazole fungicide,Propiconazole 25EC @ 1ml/L
Rice,Sheath Blight,Medium,320,0.58,Monsoon,Apply hexaconazole fungicide,Hexaconazole 5SC @ 2ml/L
Rice,Healthy,None,0,0.00,Any,No treatment needed,None
Wheat,Rust Disease,High,490,0.80,Winter,Apply propiconazole; use resistant varieties,Propiconazole 25EC @ 1ml/L
Wheat,Powdery Mildew,Medium,340,0.60,Winter,Apply triadimefon; improve spacing,Triadimefon 25WP @ 1g/L
Wheat,Fusarium Head Blight,High,280,0.52,Monsoon,Apply tebuconazole at heading stage,Tebuconazole 250EW @ 1ml/L
Wheat,Healthy,None,0,0.00,Any,No treatment needed,None
Maize,Northern Leaf Blight,High,410,0.72,Monsoon,Apply mancozeb; use resistant hybrids,Mancozeb 75WP @ 2.5g/L
Maize,Gray Leaf Spot,Medium,295,0.55,Humid,Apply azoxystrobin fungicide,Azoxystrobin 23SC @ 1ml/L
Maize,Common Rust,Medium,320,0.58,Any,Apply propiconazole at early stage,Propiconazole 25EC @ 1ml/L
Maize,Healthy,None,0,0.00,Any,No treatment needed,None
Potato,Early Blight,High,445,0.76,Summer,Apply chlorothalonil before symptoms,Chlorothalonil 75WP @ 2g/L
Potato,Late Blight,High,500,0.85,Monsoon,Apply metalaxyl+mancozeb; remove debris,Metalaxyl 8% + Mancozeb 64WP @ 2.5g/L
Potato,Black Scurf,Medium,210,0.45,Any,Treat seed pieces with thiram before planting,Thiram 75WP seed treatment @ 3g/kg
Potato,Healthy,None,0,0.00,Any,No treatment needed,None
Grapes,Powdery Mildew,High,395,0.70,Summer,Apply sulphur dust; prune for airflow,Wettable Sulphur 80WP @ 3g/L
Grapes,Leaf Blight,Medium,265,0.50,Monsoon,Apply copper oxychloride spray,Copper Oxychloride 50WP @ 3g/L
Grapes,Black Rot,High,310,0.62,Humid,Remove mummified fruit; apply captan,Captan 50WP @ 2g/L
Grapes,Healthy,None,0,0.00,Any,No treatment needed,None
Apple,Scab,High,380,0.68,Spring,Apply mancozeb at bud break stage,Mancozeb 75WP @ 2.5g/L
Apple,Cedar Apple Rust,Medium,255,0.48,Spring,Remove nearby junipers; apply myclobutanil,Myclobutanil 10WP @ 1g/L
Apple,Black Rot,High,295,0.56,Summer,Prune dead wood; apply captan spray,Captan 50WP @ 2g/L
Apple,Healthy,None,0,0.00,Any,No treatment needed,None
Orange,Citrus Canker,High,420,0.74,Monsoon,Apply copper bactericide; prune infected parts,Copper Hydroxide 77WP @ 3g/L
Orange,Huanglongbing,High,350,0.65,Any,Remove infected trees; control psyllid vectors,Dimethoate 30EC @ 1.5ml/L
Orange,Healthy,None,0,0.00,Any,No treatment needed,None
Banana,Panama Wilt,High,460,0.78,Any,Use resistant varieties; soil solarization,No effective fungicide; cultural control
Banana,Black Sigatoka,High,405,0.72,Humid,Apply propiconazole; remove lower leaves,Propiconazole 25EC @ 1.5ml/L
Banana,Healthy,None,0,0.00,Any,No treatment needed,None
