timestamp,N,P,K,temperature,humidity,moisture,soil_type,ph,crop,risk
2024-01-01 06:00,80,42,43,22.5,81,66,loamy,6.5,Rice,0.35
2024-01-01 06:05,81,43,44,22.8,82,67,loamy,6.5,Rice,0.36
2024-01-01 06:10,45,32,38,28.0,65,52,loamy,6.8,Tomato,0.42
2024-01-01 06:15,46,33,39,28.2,66,53,loamy,6.8,Tomato,0.44
2024-01-01 06:20,38,58,36,25.0,17,32,sandy,4.5,Maize,0.22
2024-01-01 06:25,37,57,35,25.2,18,31,sandy,4.5,Maize,0.23
2024-01-01 06:30,84,90,78,27.0,79,61,loamy,6.9,Chickpea,0.28
2024-01-01 06:35,85,91,79,27.2,80,62,loamy,6.9,Chickpea,0.29
2024-01-01 06:40,23,46,62,28.5,21,29,sandy,6.8,Mothbeans,0.18
2024-01-01 06:45,22,45,61,28.6,20,28,sandy,6.8,Mothbeans,0.19
2024-01-01 06:50,68,44,24,24.5,67,51,silty,6.3,Pigeonpeas,0.31
2024-01-01 06:55,67,43,23,24.4,66,50,silty,6.3,Pigeonpeas,0.30
2024-01-01 07:00,19,128,12,29.0,22,29,sandy,6.5,Mungbean,0.20
2024-01-01 07:05,20,129,13,29.2,23,30,sandy,6.5,Mungbean,0.21
2024-01-01 07:10,22,44,58,29.0,15,24,sandy,7.8,Blackgram,0.17
2024-01-01 07:15,21,43,57,29.2,16,25,sandy,7.8,Blackgram,0.18
2024-01-01 07:20,64,41,21,29.5,31,34,sandy,7.8,Lentil,0.25
2024-01-01 07:25,63,40,20,29.4,30,33,sandy,7.8,Lentil,0.26
2024-01-01 07:30,22,128,197,37.5,23,31,sandy,5.0,Pomegranate,0.38
2024-01-01 07:35,21,127,196,37.6,22,30,sandy,5.0,Pomegranate,0.37
2024-01-01 07:40,22,98,197,38.0,23,32,sandy,5.2,Banana,0.45
2024-01-01 07:45,23,99,198,38.2,24,33,sandy,5.2,Banana,0.46
2024-01-01 07:50,60,51,33,25.0,67,54,loamy,6.8,Mango,0.32
2024-01-01 07:55,59,50,32,25.2,66,53,loamy,6.8,Mango,0.33
2024-01-01 08:00,37,92,67,39.0,41,44,clay,6.7,Grapes,0.62
2024-01-01 08:05,38,93,68,39.2,42,45,clay,6.7,Grapes,0.63
2024-01-01 08:10,18,14,41,14.5,21,27,sandy,6.2,Watermelon,0.28
2024-01-01 08:15,19,15,42,14.6,22,28,sandy,6.2,Watermelon,0.27
2024-01-01 08:20,14,47,32,28.0,88,74,silty,5.5,Muskmelon,0.22
2024-01-01 08:25,13,46,31,27.8,87,73,silty,5.5,Muskmelon,0.23
2024-01-01 08:30,118,39,34,23.0,26,31,loamy,6.2,Apple,0.41
2024-01-01 08:35,117,38,33,23.2,27,32,loamy,6.2,Apple,0.40
2024-01-01 08:40,53,58,108,26.5,68,56,clay,5.3,Orange,0.38
2024-01-01 08:45,52,57,107,26.6,69,57,clay,5.3,Orange,0.37
2024-01-01 08:50,198,48,27,25.0,78,64,loamy,6.8,Papaya,0.30
2024-01-01 08:55,197,47,26,25.2,77,63,loamy,6.8,Papaya,0.31
2024-01-01 09:00,11,53,58,28.0,83,69,silty,5.5,Coconut,0.25
2024-01-01 09:05,10,52,57,28.2,82,68,silty,5.5,Coconut,0.26
2024-01-01 09:10,88,78,68,26.0,73,61,loamy,6.5,Cotton,0.52
2024-01-01 09:15,87,77,67,26.2,72,60,loamy,6.5,Cotton,0.53
2024-01-01 09:20,202,88,39,24.0,81,66,loamy,6.5,Jute,0.28
2024-01-01 09:25,201,87,38,24.2,80,65,loamy,6.5,Jute,0.29
2024-01-01 09:30,13,62,78,24.0,83,73,silty,5.8,Coffee,0.35
2024-01-01 09:35,12,61,77,24.2,82,72,silty,5.8,Coffee,0.34
2024-01-01 09:40,11,58,82,24.5,71,62,silty,5.6,Tea,0.32
2024-01-01 09:45,10,57,81,24.4,70,61,silty,5.6,Tea,0.33
2024-01-01 09:50,148,47,41,28.5,62,51,clay,6.8,Sugarcane,0.42
2024-01-01 09:55,147,46,40,28.6,61,50,clay,6.8,Sugarcane,0.43
2024-01-01 10:00,77,37,37,25.0,67,54,loamy,6.5,Wheat,0.30
2024-01-01 10:05,76,36,36,25.2,66,53,loamy,6.5,Wheat,0.31
